"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:18:05"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","0.010","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"136","620.80E+00","638.044E-03","0.554"
"137","629.25E+00","637.922E-03","0.683"
"138","637.82E+00","637.986E-03","0.494"
"139","646.51E+00","637.811E-03","0.613"
"140","655.31E+00","637.841E-03","0.630"
"141","664.23E+00","637.526E-03","0.529"
"142","673.28E+00","637.819E-03","0.668"
"143","682.44E+00","638.067E-03","0.572"
"144","691.74E+00","638.445E-03","0.511"
"145","701.16E+00","638.440E-03","0.631"
"146","710.70E+00","638.948E-03","0.600"
"147","720.38E+00","638.894E-03","0.592"
"148","730.19E+00","638.091E-03","0.525"
"149","740.13E+00","638.831E-03","0.644"
"150","750.21E+00","638.227E-03","0.632"
"151","760.43E+00","638.980E-03","0.626"
"152","770.78E+00","639.320E-03","0.556"
"153","781.28E+00","638.905E-03","0.730"
"154","791.91E+00","637.247E-03","0.602"
"155","802.70E+00","638.326E-03","0.667"
"156","813.63E+00","638.104E-03","0.614"
"157","824.71E+00","638.071E-03","0.692"
"158","835.94E+00","637.420E-03","0.753"
"159","847.32E+00","639.362E-03","0.706"
"160","858.86E+00","638.302E-03","0.806"
"161","870.55E+00","638.816E-03","0.831"
"162","882.40E+00","638.366E-03","0.769"
"163","894.42E+00","638.426E-03","0.831"
"164","906.60E+00","638.069E-03","0.756"
"165","918.94E+00","638.779E-03","0.753"
"166","931.46E+00","639.530E-03","0.769"
"167","944.14E+00","639.040E-03","0.828"
"168","957.00E+00","637.772E-03","0.838"
"169","970.03E+00","638.937E-03","0.890"
"170","983.24E+00","638.967E-03","0.871"
"171","996.62E+00","640.088E-03","0.861"
"172","1.0102E+03","639.285E-03","0.891"
"173","1.0239E+03","638.786E-03","0.880"
"174","1.0379E+03","638.312E-03","0.932"
"175","1.0520E+03","638.911E-03","0.913"
"176","1.0663E+03","638.642E-03","0.917"
"177","1.0809E+03","638.559E-03","0.899"
"178","1.0956E+03","638.620E-03","1.023"
"179","1.1105E+03","639.168E-03","0.997"
"180","1.1256E+03","638.286E-03","1.023"
"181","1.1410E+03","638.982E-03","1.126"
"182","1.1565E+03","638.117E-03","1.007"
"183","1.1722E+03","638.442E-03","0.989"
"184","1.1882E+03","637.893E-03","0.960"
"185","1.2044E+03","638.667E-03","1.180"
"186","1.2208E+03","638.593E-03","1.213"
"187","1.2374E+03","637.981E-03","1.233"
"188","1.2543E+03","638.491E-03","1.262"
"189","1.2713E+03","639.048E-03","1.183"
"190","1.2886E+03","638.692E-03","1.119"
"191","1.3062E+03","639.418E-03","1.181"
"192","1.3240E+03","638.838E-03","1.233"
"193","1.3420E+03","638.426E-03","1.241"
"194","1.3603E+03","639.844E-03","1.201"
"195","1.3788E+03","638.949E-03","1.165"
"196","1.3976E+03","638.893E-03","1.237"
"197","1.4166E+03","638.617E-03","1.295"
"198","1.4359E+03","638.935E-03","1.427"
"199","1.4554E+03","638.897E-03","1.360"
"200","1.4753E+03","639.232E-03","1.376"
"201","1.4953E+03","639.421E-03","1.384"
"202","1.5157E+03","640.087E-03","1.429"
"203","1.5363E+03","638.570E-03","1.440"
"204","1.5573E+03","638.941E-03","1.353"
"205","1.5785E+03","639.962E-03","1.375"
"206","1.6000E+03","639.136E-03","1.467"
"207","1.6218E+03","638.772E-03","1.551"
"208","1.6438E+03","639.326E-03","1.518"
"209","1.6662E+03","639.305E-03","1.553"
"210","1.6889E+03","640.012E-03","1.615"
"211","1.7119E+03","639.348E-03","1.579"
"212","1.7352E+03","639.055E-03","1.536"
"213","1.7588E+03","639.215E-03","1.698"
"214","1.7828E+03","639.444E-03","1.657"
"215","1.8071E+03","639.077E-03","1.656"
"216","1.8317E+03","639.480E-03","1.686"
"217","1.8566E+03","638.914E-03","1.657"
"218","1.8819E+03","639.480E-03","1.767"
"219","1.9075E+03","638.489E-03","1.787"
"220","1.9335E+03","639.183E-03","1.860"
"221","1.9598E+03","638.706E-03","1.864"
"222","1.9865E+03","640.023E-03","1.862"
"223","2.0136E+03","639.892E-03","1.936"
"224","2.0410E+03","640.039E-03","1.930"
"225","2.0688E+03","639.885E-03","1.875"
"226","2.0969E+03","639.004E-03","1.983"
"227","2.1255E+03","639.347E-03","1.934"
"228","2.1544E+03","640.149E-03","2.102"
"229","2.1838E+03","639.529E-03","2.093"
"230","2.2135E+03","639.407E-03","2.159"
"231","2.2436E+03","639.740E-03","2.128"
"232","2.2742E+03","639.837E-03","2.057"
"233","2.3052E+03","638.912E-03","2.136"
"234","2.3365E+03","638.308E-03","2.232"
"235","2.3684E+03","639.794E-03","2.117"
"236","2.4006E+03","639.186E-03","2.209"
"237","2.4333E+03","640.054E-03","2.280"
"238","2.4664E+03","640.841E-03","2.321"
"239","2.5000E+03","639.450E-03","2.261"
"240","2.5341E+03","639.881E-03","2.406"
"241","2.5686E+03","639.241E-03","2.336"
"242","2.6035E+03","639.885E-03","2.303"
"243","2.6390E+03","638.994E-03","2.419"
"244","2.6749E+03","639.518E-03","2.506"
"245","2.7114E+03","639.459E-03","2.478"
"246","2.7483E+03","638.275E-03","2.525"
"247","2.7857E+03","638.430E-03","2.669"
"248","2.8236E+03","640.030E-03","2.582"
"249","2.8621E+03","639.176E-03","2.641"
"250","2.9010E+03","640.102E-03","2.794"
"251","2.9405E+03","638.377E-03","2.809"
"252","2.9806E+03","639.365E-03","2.787"
"253","3.0212E+03","639.649E-03","2.795"
"254","3.0623E+03","639.786E-03","2.862"
"255","3.1040E+03","639.977E-03","2.818"
"256","3.1463E+03","638.621E-03","2.845"
"257","3.1891E+03","638.856E-03","2.955"
"258","3.2325E+03","639.430E-03","3.083"
"259","3.2766E+03","639.062E-03","3.009"
"260","3.3212E+03","639.062E-03","3.158"
"261","3.3664E+03","640.289E-03","3.146"
"262","3.4122E+03","640.158E-03","3.164"
"263","3.4587E+03","639.500E-03","3.242"
"264","3.5058E+03","639.202E-03","3.315"
"265","3.5535E+03","639.833E-03","3.259"
"266","3.6019E+03","640.168E-03","3.309"
"267","3.6510E+03","640.120E-03","3.327"
"268","3.7007E+03","640.766E-03","3.280"
"269","3.7511E+03","639.920E-03","3.474"
"270","3.8021E+03","640.483E-03","3.538"
"271","3.8539E+03","638.929E-03","3.642"
"272","3.9064E+03","640.258E-03","3.547"
"273","3.9596E+03","640.128E-03","3.683"
"274","4.0135E+03","639.817E-03","3.687"
"275","4.0682E+03","639.588E-03","3.747"
"276","4.1235E+03","639.424E-03","3.780"
"277","4.1797E+03","639.750E-03","3.850"
"278","4.2366E+03","640.732E-03","3.986"
"279","4.2943E+03","640.072E-03","3.973"
"280","4.3528E+03","639.849E-03","4.060"
"281","4.4120E+03","639.803E-03","4.049"
"282","4.4721E+03","638.821E-03","4.182"
"283","4.5330E+03","641.188E-03","4.232"
"284","4.5947E+03","640.667E-03","4.334"
"285","4.6573E+03","640.429E-03","4.219"
"286","4.7207E+03","641.201E-03","4.424"
"287","4.7850E+03","640.457E-03","4.318"
"288","4.8502E+03","639.898E-03","4.519"
"289","4.9162E+03","640.030E-03","4.573"
"290","4.9831E+03","641.610E-03","4.602"
"291","5.0510E+03","640.711E-03","4.637"
"292","5.1198E+03","640.187E-03","4.635"
"293","5.1895E+03","640.123E-03","4.822"
"294","5.2601E+03","640.572E-03","4.916"
"295","5.3318E+03","642.448E-03","5.022"
"296","5.4044E+03","642.581E-03","4.991"
"297","5.4780E+03","640.767E-03","5.197"
"298","5.5526E+03","642.333E-03","5.189"
"299","5.6282E+03","641.241E-03","5.224"
"300","5.7048E+03","641.252E-03","5.415"
"301","5.7825E+03","641.392E-03","5.356"
"302","5.8612E+03","641.107E-03","5.407"
"303","5.9410E+03","642.648E-03","5.540"
"304","6.0219E+03","640.185E-03","5.661"
"305","6.1039E+03","641.870E-03","5.639"
"306","6.1870E+03","640.627E-03","5.530"
"307","6.2713E+03","641.833E-03","5.735"
"308","6.3567E+03","641.091E-03","5.793"
"309","6.4432E+03","642.416E-03","5.971"
"310","6.5310E+03","642.142E-03","5.974"
"311","6.6199E+03","642.616E-03","6.113"
"312","6.7100E+03","641.267E-03","6.272"
"313","6.8014E+03","644.125E-03","6.225"
"314","6.8940E+03","642.704E-03","6.313"
"315","6.9879E+03","642.824E-03","6.534"
"316","7.0830E+03","641.698E-03","6.590"
"317","7.1795E+03","644.805E-03","6.612"
"318","7.2772E+03","642.403E-03","6.730"
"319","7.3763E+03","643.721E-03","6.927"
"320","7.4768E+03","642.996E-03","6.837"
"321","7.5786E+03","643.459E-03","7.001"
"322","7.6818E+03","643.023E-03","7.191"
"323","7.7864E+03","643.073E-03","7.090"
"324","7.8924E+03","643.498E-03","7.262"
"325","7.9999E+03","644.533E-03","7.368"
"326","8.1088E+03","644.128E-03","7.489"
