"HIOKI E.E. CORPORATION","IM3570","Ver. 3.06"

"DATE","23-01-28"
"TIME","18:24:00"

"SOURCE","FREQ"
"TRIG","SEQ"
"DRAW","REAL"
"TRIG DELAY","0.2000","s"
"DCBIAS","OFF"

"V","1.000","V"
"RANGE","AUTO"
"SPEED","SLOW"
"AVG","OFF"
"POINT DELAY","0.0000","s"
"No.","FREQUENCY(Hz)","Z[É∂]","É∆[Åã]"
"125","534.98E+00","2.919108E+06","-87.431"
"126","542.27E+00","2.884318E+06","-87.351"
"127","549.65E+00","2.843778E+06","-87.399"
"128","557.14E+00","2.814250E+06","-87.174"
"129","564.72E+00","2.778753E+06","-87.583"
"130","572.41E+00","2.735713E+06","-87.413"
"131","580.21E+00","2.695008E+06","-87.442"
"132","588.11E+00","2.677960E+06","-87.179"
"133","596.12E+00","2.621700E+06","-87.196"
"134","604.23E+00","2.585360E+06","-87.072"
"135","612.46E+00","2.563896E+06","-87.532"
"136","620.80E+00","2.524048E+06","-87.596"
"137","629.25E+00","2.487704E+06","-87.274"
"138","637.82E+00","2.456719E+06","-87.295"
"139","646.51E+00","2.432335E+06","-87.597"
"140","655.31E+00","2.396659E+06","-87.260"
"141","664.23E+00","2.366022E+06","-87.486"
"142","673.28E+00","2.333933E+06","-87.447"
"143","682.44E+00","2.297366E+06","-87.472"
"144","691.74E+00","2.274866E+06","-87.479"
"145","701.16E+00","2.245053E+06","-87.640"
"146","710.70E+00","2.208800E+06","-87.435"
"147","720.38E+00","2.189099E+06","-87.483"
"148","730.19E+00","2.162570E+06","-87.469"
"149","740.13E+00","2.125022E+06","-87.423"
"150","750.21E+00","2.101277E+06","-87.449"
"151","760.43E+00","2.077386E+06","-87.468"
"152","770.78E+00","2.052468E+06","-87.490"
"153","781.28E+00","2.019364E+06","-87.567"
"154","791.91E+00","1.994240E+06","-87.467"
"155","802.70E+00","1.971416E+06","-87.552"
"156","813.63E+00","1.942138E+06","-87.443"
"157","824.71E+00","1.918838E+06","-87.576"
"158","835.94E+00","1.888479E+06","-87.417"
"159","847.32E+00","1.863051E+06","-87.644"
"160","858.86E+00","1.834511E+06","-87.467"
"161","870.55E+00","1.821718E+06","-87.473"
"162","882.40E+00","1.799683E+06","-87.658"
"163","894.42E+00","1.766646E+06","-87.599"
"164","906.60E+00","1.748998E+06","-87.558"
"165","918.94E+00","1.730742E+06","-87.687"
"166","931.46E+00","1.701883E+06","-87.856"
"167","944.14E+00","1.688344E+06","-87.559"
"168","957.00E+00","1.661990E+06","-87.596"
"169","970.03E+00","1.641491E+06","-87.673"
"170","983.24E+00","1.617150E+06","-87.614"
"171","996.62E+00","1.598138E+06","-87.576"
"172","1.0102E+03","1.574926E+06","-87.611"
"173","1.0239E+03","1.553180E+06","-87.811"
"174","1.0379E+03","1.536610E+06","-87.613"
"175","1.0520E+03","1.512740E+06","-87.595"
"176","1.0663E+03","1.495816E+06","-87.717"
"177","1.0809E+03","1.474534E+06","-87.756"
"178","1.0956E+03","1.455565E+06","-87.735"
"179","1.1105E+03","1.437180E+06","-87.747"
"180","1.1256E+03","1.419941E+06","-87.702"
"181","1.1410E+03","1.398265E+06","-87.789"
"182","1.1565E+03","1.380708E+06","-87.804"
"183","1.1722E+03","1.363795E+06","-87.749"
"184","1.1882E+03","1.346476E+06","-87.774"
"185","1.2044E+03","1.328671E+06","-87.760"
"186","1.2208E+03","1.311190E+06","-87.756"
"187","1.2374E+03","1.292223E+06","-87.863"
"188","1.2543E+03","1.274347E+06","-87.798"
"189","1.2713E+03","1.260034E+06","-87.725"
"190","1.2886E+03","1.243578E+06","-87.872"
"191","1.3062E+03","1.227981E+06","-87.873"
"192","1.3240E+03","1.209408E+06","-87.786"
"193","1.3420E+03","1.194685E+06","-87.772"
"194","1.3603E+03","1.180341E+06","-87.870"
"195","1.3788E+03","1.164101E+06","-87.899"
"196","1.3976E+03","1.147804E+06","-87.864"
"197","1.4166E+03","1.134372E+06","-87.814"
"198","1.4359E+03","1.119592E+06","-87.879"
"199","1.4554E+03","1.105322E+06","-87.895"
"200","1.4753E+03","1.088310E+06","-87.893"
"201","1.4953E+03","1.075179E+06","-87.876"
"202","1.5157E+03","1.060233E+06","-87.905"
"203","1.5363E+03","1.048035E+06","-88.034"
"204","1.5573E+03","1.032883E+06","-87.985"
"205","1.5785E+03","1.019425E+06","-87.888"
